id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,chart_link
121,RK0117PMD,Kelat,Eugenia spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,47,30,Hutan Desa Pemandang,mineral,Pembinaan,0.694507,100.3481873,205.57,9.26,Belum,-,-,Rahmad,28/09/2021 16:17,200000,5684.98,-,Chave et al (2014),media/1632820836321.jpg,media/1632820842545.jpg,media/1632820855434.jpg,media/1632820862149.jpg,
122,RK0118PMD,Darah darah,Myristica spp,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46,28,Hutan Desa Pemandang,mineral,Pembinaan,0.6945535,100.3482079,211.99,9.25,Belum,-,-,Habibi,28/09/2021 16:22,200000,3589.49,-,Chave et al (2014),media/1632821026929.jpg,media/1632821039277.jpg,media/1632821070055.jpg,media/1632821079521.jpg,
123,RK0119PMD,Sonduk,Endospermum medullosum,Pohon Dewasa,icon/mature_tree.svg,Not Define,40,14,Hutan Desa Pemandang,mineral,Pembinaan,0.6945739,100.3481533,212.25,9.25,Belum,-,-,Rahmad,28/09/2021 16:26,200000,973.67,-,Chave et al (2014),media/1632821290123.jpg,media/1632821298210.jpg,media/1632821306277.jpg,media/1632821311167.jpg,
124,RK0120PMD,Medang,Cinnamomum spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,52,14,Hutan Desa Pemandang,mineral,Pembinaan,0.6944052,100.3480016,231.67,9.28,Belum,-,-,Habibi,28/09/2021 16:31,200000,2159.88,-,Chave et al (2014),media/1632821543107.jpg,media/1632821549287.jpg,media/1632821676386.jpg,media/1632821686021.jpg,
125,RK0121PMD,Lalan,Santiria laevigata,Pohon Dewasa,icon/mature_tree.svg,Least Concern,46,17,Hutan Desa Pemandang,mineral,Pembinaan,0.6929484,100.3488454,196.44,9.38,Belum,-,-,Habibi,29/09/2021 08:24,200000,2411.04,-,Chave et al (2014),media/1632878733109.jpg,media/1632878740673.jpg,media/1632878747667.jpg,media/1632878761037.jpg,
126,RK0122PMD,Kayu kacang,Leguminosae sp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,41,15,Hutan Desa Pemandang,mineral,Pembinaan,0.6930386,100.3487475,236.98,9.37,Belum,-,-,Rahmad,29/09/2021 08:28,200000,5205.91,-,Chave et al (2014),media/1632879004458.jpg,media/1632879012759.jpg,media/1632879022335.jpg,media/1632879036998.jpg,
127,RK0123PMD,Sorik layang,-,Pohon Dewasa,icon/mature_tree.svg,Not Define,41,16,Hutan Desa Pemandang,mineral,Pembinaan,0.6931384,100.3488604,211.96,9.36,Belum,-,-,Habibi,29/09/2021 08:34,200000,5205.91,-,Brown (1997),media/1632879321205.jpg,media/1632879328780.jpg,media/1632879335692.jpg,media/1632879340451.jpg,
128,RK0124PMD,Kelat,Eugenia spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,55,12,Hutan Desa Pemandang,mineral,Pembinaan,0.6930698,100.3488186,197.32,9.37,Belum,-,-,Rahmad,29/09/2021 08:37,200000,3159.31,-,Chave et al (2014),media/1632879543746.jpg,media/1632879551993.jpg,media/1632879560987.jpg,media/1632879565705.jpg,
129,RK0125PMD,Medang,Cinnamomum spp.,Pohon Dewasa,icon/mature_tree.svg,Not Define,49,19,Hutan Desa Pemandang,mineral,Pembinaan,0.6931108,100.3488705,215.87,9.36,Belum,-,-,Habibi,29/09/2021 08:41,200000,2591.17,-,Chave et al (2014),media/1632879730356.jpg,media/1632879738133.jpg,media/1632879744526.jpg,media/1632879749680.jpg,
130,RK0126PMD,Pengentasan,-,Pohon Dewasa,icon/mature_tree.svg,Not Define,135,30,Hutan Desa Pemandang,mineral,Pembinaan,0.6930522,100.3485807,198.17,9.38,Belum,-,-,Rahmad,29/09/2021 08:45,200000,106144.59,-,Brown (1997),media/1632880098705.jpg,media/1632880105847.jpg,media/1632880114934.jpg,media/1632880120355.jpg,
